Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Latitude,Longitude,Resolved Address,Name
"Week 2 (Jan) 2000","683111",75.5,89.7,82.4,72.2,72.36,96,11.4,,233,,0.5,2.96,,2.5,,1009,10.15006,76.39934,"683111",""
"Week 3 (Jan) 2000","683111",75.3,90.2,82.5,74.3,77.37,99.4,11.4,,223.64,,0.8,2.96,,2.5,,1009.7,10.15006,76.39934,"683111",""
"Week 4 (Jan) 2000","683111",72.2,90.8,82.2,71.7,72.1,93.6,11.4,,281.25,,0,0,,2.5,,1012.1,10.15006,76.39934,"683111",""
"Week 5 (Jan) 2000","683111",71.7,89.7,81.7,70,70.08,94.4,11.4,,204.8,,0,0,,2.6,,1012.4,10.15006,76.39934,"683111",""
"Week 6 (Jan) 2000","683111",73.7,89.9,81.1,72.4,76.68,98.6,13.9,,237.2,,2.6,1.18,,2.4,,1011.5,10.15006,76.39934,"683111",""
"Week 7 (Feb) 2000","683111",74.9,86.6,81.6,73.3,76.65,95.8,13.9,,270.83,,0,0.59,,2.4,,1010.5,10.15006,76.39934,"683111",""
"Week 8 (Feb) 2000","683111",75.3,89.7,81.8,72.9,75.53,97.7,11.4,,216.13,,0,0,,2.6,,1009.7,10.15006,76.39934,"683111",""
"Week 9 (Feb) 2000","683111",72.6,87.5,80.8,73.2,78.3,94.7,13.9,,260.88,,3.9,9.47,,2.4,,1009.7,10.15006,76.39934,"683111",""
"Week 10 (Feb) 2000","683111",75.8,89.9,82.8,73.8,75.68,98.6,11.4,,240.87,,5.2,2.37,,2.5,,1010,10.15006,76.39934,"683111",""
"Week 11 (Mar) 2000","683111",77.1,88.4,83.4,75,76.57,99.4,24.2,,277.5,,0,0.59,,2.6,,1010.1,10.15006,76.39934,"683111",""
"Week 12 (Mar) 2000","683111",76.7,89.7,83,75.1,77.77,100.5,13.9,,291.48,,0,0,,2.7,,1009.6,10.15006,76.39934,"683111",""
"Week 13 (Mar) 2000","683111",75.5,89.7,83.9,75.8,77.62,103,13.9,,260.37,,0.8,0.59,,2.6,,1009.7,10.15006,76.39934,"683111",""
"Week 14 (Mar) 2000","683111",74.6,89,82.8,76.5,81.87,102,11.4,,276.8,,0.9,3.55,,2.4,,1009,10.15006,76.39934,"683111",""
"Week 15 (Apr) 2000","683111",76.4,89.7,83.4,76.4,80.35,107.2,13.9,,233.5,,0.3,4.73,,2.4,,1009.1,10.15006,76.39934,"683111",""
"Week 16 (Apr) 2000","683111",77.1,90.2,86.1,77.2,75.42,104.9,9.2,,281.67,,0.1,2.37,,2.4,,1007.8,10.15006,76.39934,"683111",""
"Week 17 (Apr) 2000","683111",76.7,91.1,84.2,75.5,75.86,105.1,11.4,,267.22,,0.4,0.59,,2.5,,1009,10.15006,76.39934,"683111",""
"Week 18 (Apr) 2000","683111",77.1,90.8,84.8,77.6,79.68,105.9,11.4,,283.23,,0.5,3.55,,2.5,,1008.7,10.15006,76.39934,"683111",""
"Week 19 (May) 2000","683111",76.7,89.9,84.9,77.2,78.42,105.4,13.9,,282.07,,1.7,1.78,,2.5,,1009.7,10.15006,76.39934,"683111",""
"Week 20 (May) 2000","683111",74,90.8,85,77.2,77.57,105.2,11.4,,285,,0.4,0.59,,2.6,,1009.5,10.15006,76.39934,"683111",""
"Week 21 (May) 2000","683111",74.9,91.1,83.1,76.7,81.72,105.1,13.9,,267.27,,6.4,14.79,,2.5,,1009.5,10.15006,76.39934,"683111",""
"Week 22 (May) 2000","683111",75.3,90.2,82.1,76.7,84.66,105.2,13.9,,292.33,,4.7,5.92,,2.8,,1008.6,10.15006,76.39934,"683111",""
"Week 23 (May) 2000","683111",74.6,89.9,80.6,76,86.75,100.9,13.9,,294.09,,5.2,12.43,,2.4,,1007.9,10.15006,76.39934,"683111",""
"Week 24 (Jun) 2000","683111",73.7,83,77.3,76,95.96,95.8,11.4,,230.91,,25.4,17.16,,2.4,,1008.9,10.15006,76.39934,"683111",""
"Week 25 (Jun) 2000","683111",73.7,87.2,79.8,75.8,88.08,98.2,12.8,,245.52,,4.4,13.61,,2.4,,1010.8,10.15006,76.39934,"683111",""
"Week 26 (Jun) 2000","683111",74.6,87.5,80.3,76.4,88.16,98.9,15,,282.08,,4,10.06,,2.4,,1009,10.15006,76.39934,"683111",""
"Week 27 (Jun) 2000","683111",71.7,86.1,76.7,74.5,93.3,96.6,11.4,,244,,7.5,15.38,,2.4,,1009,10.15006,76.39934,"683111",""
"Week 28 (Jul) 2000","683111",73.5,85.4,77.7,74.7,90.95,96.9,13.9,,294.23,,5.8,11.83,,2.4,,1008.3,10.15006,76.39934,"683111",""
"Week 29 (Jul) 2000","683111",73.1,87.2,80.4,75.8,86.7,98.2,11.4,,272.61,,5.1,7.69,,2.4,,1009.2,10.15006,76.39934,"683111",""
"Week 30 (Jul) 2000","683111",76.7,86.6,82,76,82.5,98.5,13.9,,317.73,,1.6,6.51,,2.5,,1009.4,10.15006,76.39934,"683111",""
"Week 31 (Jul) 2000","683111",73.5,86.3,80.6,75.2,84.19,96.3,13.9,,304.55,,2,10.06,,2.4,,1009.6,10.15006,76.39934,"683111",""
"Week 32 (Jul) 2000","683111",75.8,86.6,80.4,75.8,86.31,97,13.9,,303.08,,1,7.1,,2.5,,1008.3,10.15006,76.39934,"683111",""
"Week 33 (Aug) 2000","683111",72.2,86.6,78.9,75.3,89.52,95.8,110.3,,280.56,,6.6,6.51,,2.4,,1009.5,10.15006,76.39934,"683111",""
"Week 34 (Aug) 2000","683111",74,86.6,78.7,75.5,90.53,95.8,11.4,,285.62,,2.8,8.88,,2.5,,1010.7,10.15006,76.39934,"683111",""
"Week 35 (Aug) 2000","683111",73.5,82.5,76.2,74.9,96.04,91.6,17.2,,279.72,,14.8,11.83,,2.4,,1009,10.15006,76.39934,"683111",""
"Week 36 (Aug) 2000","683111",71,86.3,79.6,75.6,87.75,95.9,11.4,,285,,0.9,7.69,,2.4,,1010.5,10.15006,76.39934,"683111",""
"Week 37 (Sep) 2000","683111",75.8,87.5,82,75.3,81.03,97.1,10.3,,279.5,,0.3,2.37,,2.6,,1010.6,10.15006,76.39934,"683111",""
"Week 38 (Sep) 2000","683111",76.7,86.1,81.5,75.4,82.07,96.4,13.9,,303.33,,0.4,2.37,,2.5,,1009,10.15006,76.39934,"683111",""
"Week 39 (Sep) 2000","683111",74.6,86.3,79.6,75.4,87.26,96.7,13.9,,270.45,,3.3,7.1,,2.5,,1008.6,10.15006,76.39934,"683111",""
"Week 40 (Sep) 2000","683111",73.7,86.3,79,75.7,90.13,97.9,15,,215.65,,4.8,7.1,,2.4,,1009.7,10.15006,76.39934,"683111",""
"Week 41 (Oct) 2000","683111",71.7,85.4,78.9,75.6,90.1,95.9,13.9,,239.05,,2.6,6.51,,2.4,,1010.7,10.15006,76.39934,"683111",""
"Week 42 (Oct) 2000","683111",74.6,87.5,81,75.2,83.07,101.9,12.8,,275.62,,12.2,3.55,,2.4,,1010.4,10.15006,76.39934,"683111",""
"Week 43 (Oct) 2000","683111",72.8,87.2,80,76,87.85,101.7,11.4,,263.18,,4.6,9.47,,2.5,,1009.7,10.15006,76.39934,"683111",""
